tissue,i,j,rms_delta,note
HSC,CDATA,CDATA,,missing
HSC,CDATA,Telomere,,missing
HSC,CDATA,MitoROS,,missing
HSC,CDATA,EpigeneticDrift,,missing
HSC,CDATA,Proteostasis,,missing
HSC,Telomere,Telomere,0.0,
HSC,Telomere,MitoROS,2.420960575150948,
HSC,Telomere,EpigeneticDrift,2.204452741377728,
HSC,Telomere,Proteostasis,1.696554007252475,
HSC,MitoROS,MitoROS,0.0,
HSC,MitoROS,EpigeneticDrift,0.21650783386158123,
HSC,MitoROS,Proteostasis,0.7244065678999242,
HSC,EpigeneticDrift,EpigeneticDrift,0.0,
HSC,EpigeneticDrift,Proteostasis,0.5078987341676401,
HSC,Proteostasis,Proteostasis,0.0,
Fibroblast,CDATA,CDATA,,missing
Fibroblast,CDATA,Telomere,,missing
Fibroblast,CDATA,MitoROS,,missing
Fibroblast,CDATA,EpigeneticDrift,,missing
Fibroblast,CDATA,Proteostasis,,missing
Fibroblast,Telomere,Telomere,0.0,
Fibroblast,Telomere,MitoROS,1.9573260810207749,
Fibroblast,Telomere,EpigeneticDrift,1.7408182472553042,
Fibroblast,Telomere,Proteostasis,1.380176150735894,
Fibroblast,MitoROS,MitoROS,0.0,
Fibroblast,MitoROS,EpigeneticDrift,0.21650783386158123,
Fibroblast,MitoROS,Proteostasis,0.577149930286804,
Fibroblast,EpigeneticDrift,EpigeneticDrift,0.0,
Fibroblast,EpigeneticDrift,Proteostasis,0.3606420965839387,
Fibroblast,Proteostasis,Proteostasis,0.0,
Neuron,CDATA,CDATA,,missing
Neuron,CDATA,Telomere,,missing
Neuron,CDATA,MitoROS,,missing
Neuron,CDATA,EpigeneticDrift,,missing
Neuron,CDATA,Proteostasis,,missing
Neuron,Telomere,Telomere,0.0,
Neuron,Telomere,MitoROS,0.42536096116262506,
Neuron,Telomere,EpigeneticDrift,0.75012271194912,
Neuron,Telomere,Proteostasis,0.22347523372188707,
Neuron,MitoROS,MitoROS,0.0,
Neuron,MitoROS,EpigeneticDrift,0.3247617507903437,
Neuron,MitoROS,Proteostasis,0.20188572744161695,
Neuron,EpigeneticDrift,EpigeneticDrift,0.0,
Neuron,EpigeneticDrift,Proteostasis,0.5266474782307954,
Neuron,Proteostasis,Proteostasis,0.0,
Cardiomyocyte,CDATA,CDATA,,missing
Cardiomyocyte,CDATA,Telomere,,missing
Cardiomyocyte,CDATA,MitoROS,,missing
Cardiomyocyte,CDATA,EpigeneticDrift,,missing
Cardiomyocyte,CDATA,Proteostasis,,missing
Cardiomyocyte,Telomere,Telomere,0.0,
Cardiomyocyte,Telomere,MitoROS,0.42536096116262506,
Cardiomyocyte,Telomere,EpigeneticDrift,0.75012271194912,
Cardiomyocyte,Telomere,Proteostasis,0.22347523372188707,
Cardiomyocyte,MitoROS,MitoROS,0.0,
Cardiomyocyte,MitoROS,EpigeneticDrift,0.3247617507903437,
Cardiomyocyte,MitoROS,Proteostasis,0.20188572744161695,
Cardiomyocyte,EpigeneticDrift,EpigeneticDrift,0.0,
Cardiomyocyte,EpigeneticDrift,Proteostasis,0.5266474782307954,
Cardiomyocyte,Proteostasis,Proteostasis,0.0,
Hepatocyte,CDATA,CDATA,,missing
Hepatocyte,CDATA,Telomere,,missing
Hepatocyte,CDATA,MitoROS,,missing
Hepatocyte,CDATA,EpigeneticDrift,,missing
Hepatocyte,CDATA,Proteostasis,,missing
Hepatocyte,Telomere,Telomere,0.0,
Hepatocyte,Telomere,MitoROS,1.9573260810207749,
Hepatocyte,Telomere,EpigeneticDrift,1.7408182472553042,
Hepatocyte,Telomere,Proteostasis,1.380176150735894,
Hepatocyte,MitoROS,MitoROS,0.0,
Hepatocyte,MitoROS,EpigeneticDrift,0.21650783386158123,
Hepatocyte,MitoROS,Proteostasis,0.577149930286804,
Hepatocyte,EpigeneticDrift,EpigeneticDrift,0.0,
Hepatocyte,EpigeneticDrift,Proteostasis,0.3606420965839387,
Hepatocyte,Proteostasis,Proteostasis,0.0,
IntestinalCrypt,CDATA,CDATA,,missing
IntestinalCrypt,CDATA,Telomere,,missing
IntestinalCrypt,CDATA,MitoROS,,missing
IntestinalCrypt,CDATA,EpigeneticDrift,,missing
IntestinalCrypt,CDATA,Proteostasis,,missing
IntestinalCrypt,Telomere,Telomere,0.0,
IntestinalCrypt,Telomere,MitoROS,3.1885815942767715,
IntestinalCrypt,Telomere,EpigeneticDrift,3.015375327249124,
IntestinalCrypt,Telomere,Proteostasis,2.21146341836214,
IntestinalCrypt,MitoROS,MitoROS,0.0,
IntestinalCrypt,MitoROS,EpigeneticDrift,0.1732062670889556,
IntestinalCrypt,MitoROS,Proteostasis,0.9771181759152573,
IntestinalCrypt,EpigeneticDrift,EpigeneticDrift,0.0,
IntestinalCrypt,EpigeneticDrift,Proteostasis,0.8039119089020028,
IntestinalCrypt,Proteostasis,Proteostasis,0.0,
